"source","target"
"FifeFrenchDescription","在战场上吹奏美妙的乐曲，可以有效舒缓士兵们的压力，按“{0}”键拿起乐器。"
"Damage","伤害"
"Reach","达到"
"Accuracy","精准度"
"ReloadTime","装填时间"
"AbleToBlock","可进行格挡"
"StrikeDirections","可攻击方向"
"Range","射程"
"Yes","可"
"No","不可"
"Seconds","秒"
"Ammunition","弹药"
"Shots","发"
"Bayonet","刺刀"
"Speed","速度"
"ViolinDescription","看这纤细的头部，优雅的流线形琴体和精美的做工，这把琴毫无疑问可以在大师手中演奏出动听的音乐，按“{0}”键可以拿出它。"
"BayonetDescription","步枪配备的刺刀，不可拆卸，可以按“{0}”后将步枪作为长矛使用。"
"MusketDescription","这把步枪配备了刺刀，对于大多数人而言，这是最易于训练使用的步枪。"
"RifleDescription","猎兵专用的，带有膛线的前膛燧发枪，在远距离射击中极具优势。"
"CarbineDescription","比起常规步枪射程更短但也更轻，因此相当便携，适合骑兵和负重较高的士兵使用。"
"PistolDescription","单发式手枪，射程短但是装填速度相当快，尤其适合自卫用途。"
"BlunderbussDescription","猎枪，可以一次击中多个目标，但是射程也很短。"
"CutlassDescription","海军用传统冷兵器，近距离交战不二的选择。"
"OfficerWeaponDescription","指挥官权力的象征，握住刀柄，发出你的命令，带领士兵们走向胜利。"
"ShortBladedSwordDescription","一把短刀，虽然不是很好用，但用来自卫也足够了。"
"KnifeDescription","无论如何，使用这个总比赤手空拳好多了。"
"2HAxeDescription","作为专业伐木工具，可能没有其他武器比它更适合拆掉木制掩体了。"
"DeconstructingHammerDescription","用于破坏敌方的掩体，也可以拆毁己方的掩体，然后回收建筑材料。"
"1HAxeDescription","可以单手挥动的斧子，虽然比双手斧略轻，但是依然足以拆毁建筑，以及劈开人头。"
"BearingFlagDescription","展开你的旗帜来集结军队，并给予附近友军更强的信心。"
"ConstructingHammerDescription","按“{0}”装备锤子并开始构建修筑掩体和防御体系。"
"CannonRamRodDescription","这根杆子很像长矛，除了用来清理并压实火炮中的炮弹和发射药，其实也可以用来砸人。"
"SpadeDescription","挖掘工具，利用它来挖掘土木类掩体，增强己方的防御能力。"
"BoardingPikeDescription","请充分发挥长矛的攻击距离优势阻挡敌人。"
"CannonRamRod","擦炮杆"
