source,target,context
ArmyDeathmatch,Army Deathmatch,Game Modes
ArmySiege,Army Siege,Game Modes
CoastalSiege,Coastal Siege,Game Modes
MeleeArena,Melee Arena,Game Modes
NavalAssault,Naval Assault,Game Modes
NavalBattlefield,Naval Battlefield,Game Modes
Keys,English,Game Types
Hardcore,Hardcore,Game Types
Standard,Standard,Game Types
Keys,English,Spawn Details Menu
Attributes,Attributes,Spawn Details Menu
Back,Back,Spawn Details Menu
BattleStartsIn,Battle starts in,Spawn Details Menu
Class,Class,Spawn Details Menu
Class Selection,Class Selection,Spawn Details Menu
ClassSlotFull,All class slots have been taken. Select another class.,Spawn Details Menu
Enlist,Enlist,Spawn Details Menu
Equip,Equip,Spawn Details Menu
Faction Reinforcements,Faction Reinforcements,Spawn Details Menu
Freeroam Camera,Free Roam Camera,Spawn Details Menu
Game Mode Info,Game Mode Info,Spawn Details Menu
Join,Join,Spawn Details Menu
Join Round,Join Round,Spawn Details Menu
Location,Location,Spawn Details Menu
MaxFactionPlayersReached,There are way too many players in this faction.,Spawn Details Menu
Options,Options,Spawn Details Menu
Player,Player,Spawn Details Menu
Players,Players,Spawn Details Menu
Select Class,Select Class,Spawn Details Menu
Select Faction,Select Faction,Spawn Details Menu
Select Spawn,Select Spawn,Spawn Details Menu
Ship Sunk,Sunk,Spawn Details Menu
Spawn,Spawn,Spawn Details Menu
Spawn Out Of Reinforcements,Your faction is out of reinforcements. Please wait for the next round to spawn.,Spawn Details Menu
SpawnContested,The capture point is being contested. You are unable to spawn.,Spawn Details Menu
Spectate,Spectate,Spawn Details Menu
Troops,Troops,Spawn Details Menu
Waiting for other players to join,Waiting for other players to join.,Spawn Details Menu
Waiting for players to,Waiting for players to,Spawn Details Menu
You must wait for the next round to spawn,You must wait for the next round to spawn.,Spawn Details Menu
Regiment,Regiment,Spawn Details Menu
Role,Role,Spawn Details Menu
Health,Health,Spawn Details Menu
Agility,Agility,Spawn Details Menu
Swimming,Swimming,Spawn Details Menu
Damage,Damage,Spawn Details Menu
Accuracy,Accuracy,Spawn Details Menu
Range,Range,Spawn Details Menu
Abilities,Abilities,Spawn Details Menu
Orders,Orders,Spawn Details Menu
Traits,Traits,Spawn Details Menu
ReloadTime,Reload Time,Spawn Details Menu
Ammunition,Ammunition,Spawn Details Menu
BaseSpawn,Base Spawn,Spawn Details Menu
FortifiedPosition,Fortified Position,Spawn Details Menu
OpenPlains,Open Plains,Spawn Details Menu
Farm,Farm,Spawn Details Menu
Field,Field,Spawn Details Menu
Village,Village,Spawn Details Menu
Camp,Camp,Spawn Details Menu
Lodge,Lodge,Spawn Details Menu
Church,Church,Spawn Details Menu
Ruins,Ruins,Spawn Details Menu
Ship,Ship,Spawn Details Menu
Port,Port,Spawn Details Menu
LandSpawnSection,Land Spawn Section,Spawn Details Menu
ShipSpawnSection,Ship Spawn Section,Spawn Details Menu
FactionFull,Faction Full,Spawn Details Menu
Crew,Crew,Spawn Details Menu
Keys,English,Round End Reasons
0 has won the match,{0} has won the match!,Round End Reasons
All flags have been captured,All flags have been captured.,Round End Reasons
Both factions have the same number of remaining crew reinforcements,Both factions have the same number of remaining crew reinforcements.,Round End Reasons
Both factions have the same number of remaining troop reinforcements and surviving players,Both factions have the same number of remaining troop reinforcements and surviving players.,Round End Reasons
Both factions have the same number of surviving crewman in the battlefield,Both factions have the same number of surviving members of the crew on the battlefield.,Round End Reasons
Both factions have the same number of surviving troops in the battlefield,Both factions have the same number of surviving troops in the battlefield.,Round End Reasons
Both factions have the same number of tickets,Both factions have the same number of tickets.,Round End Reasons
Gathered more tickets than the other faction,Gathered more tickets than the other faction.,Round End Reasons
Maximum tickets reached,Maximum tickets reached.,Round End Reasons
Player 0 dominates the battlefield with the greatest number of kills,Player {0} dominates the battlefield with the greatest number of kills.,Round End Reasons
Round Timer Ended,Round Timer Ended,Round End Reasons
The 0 Are Victorious,The {0} Are Victorious,Round End Reasons
The 0 Is Victorious,The {0} Is Victorious,Round End Reasons
The 0 crew reinforcements have been depleted,The {0} crew reinforcements have been depleted.,Round End Reasons
The 0 crewmen have been eliminated,The {0} crewmen have been eliminated.,Round End Reasons
The 0 have successfully defended the capture points,The {0} have successfully defended the capture points,Round End Reasons
The 0 have the greater number of kills,The {0} have the greater number of kills.,Round End Reasons
The 0 have the greater number of remaining crew reinforcements and surviving players,The {0} have the greater number of remaining crew reinforcements and surviving players.,Round End Reasons
The 0 have the greater number of remaining ships,The {0} have the greater number of remaining ships.,Round End Reasons
The 0 have the greatest number of remaining troop reinforcements and surviving players,The {0} have the greatest number of remaining troop reinforcements and surviving players.,Round End Reasons
The 0 have the most surviving crewmen in the battlefield,The {0} have the most surviving crewmen in the battlefield.,Round End Reasons
The 0 have the most surviving troops in the battlefield,The {0} have the most surviving troops in the battlefield.,Round End Reasons
The 0 lost control of all the capture points,The {0} lost control of all the capture points.,Round End Reasons
The 0 lost control of the major capture points,The {0} lost control of the major capture points.,Round End Reasons
The 0 ships have been sunk or captured,The {0} ships have been sunk or captured.,Round End Reasons
The 0 troops in the battlefield have been eliminated,The {0} troops in the battlefield have been eliminated.,Round End Reasons
There are not enough players to continue the match,There are not enough players to continue the match.,Round End Reasons
Two or more players have the same number of kills deaths and score,"Two or more players have the same number of kills, deaths and score.",Round End Reasons
Your faction lost,Your faction lost!,Round End Reasons
Your faction won,Your faction won!,Round End Reasons
Keys,English,Round End UI
Defeat,Defeat,Round End UI
End of Match,End of Match,Round End UI
Match Duration,Match Duration,Round End UI
Total Rounds,Total Rounds,Round End UI
Total Score,Total Score,Round End UI
Victory,Victory,Round End UI
Keys,English,Reinforcements Notifications
The 0 reinforcements have depleted Eliminate the remaining troops on the battlefield,The {0} reinforcements have depleted! Eliminate the remaining troops on the battlefield.,Reinforcements Notifications
Your reinforcements have been depleted Commit your last stand,Your reinforcements have been depleted! Commit your last stand,Reinforcements Notifications
Your reinforcements have been depleted You cannot spawn anymore,Your reinforcements have been depleted! You cannot spawn anymore,Reinforcements Notifications
Keys,English,Friendly Fire Notifications
Youve hit a friendly player Watch out,You’ve hit a friendly player! Watch out.,Friendly Fire Notifications
Keys,English,Time Values
Wait,Wait,Time Values
minute,minute,Time Values
minutes,minutes,Time Values
second,second,Time Values
seconds,seconds,Time Values
Cooldown,Cooldown,Time Values
Duration,Duration,Time Values
Sec,Sec,Time Values
Min,Min,Time Values
Keys,English,Breakdown Score Types
Assist Kill,Assist Kill,Breakdown Score Types
Dominating,Dominating,Breakdown Score Types
Drowned,Drowned,Breakdown Score Types
Enemy Hit,Enemy Hit,Breakdown Score Types
Enemy Killed,Enemy Killed,Breakdown Score Types
Environment,Environment,Breakdown Score Types
Environment Damaged,Damaged,Breakdown Score Types
Environment Damaged Assist,Assist,Breakdown Score Types
Fatal Fall,Fatal Fall,Breakdown Score Types
Flag Bearer Kill,Flag Bearer Kill,Breakdown Score Types
Friendly Hit,Friendly Hit,Breakdown Score Types
FriendlyPlayerDamagedEmplacement,Hit Friendly Emplacement,Breakdown Score Types
FriendlyPlayerDestroyedEmplacement,Destroyed Friendly Emplacement,Breakdown Score Types
Headshot,Headshot,Breakdown Score Types
Kill Streak,Kill Streak,Breakdown Score Types
Killing Spree,Killing Spree,Breakdown Score Types
Long Range,Long Range,Breakdown Score Types
Multi Kill,Multi Kill,Breakdown Score Types
Officer Kill,Officer Kill,Breakdown Score Types
Oh thats brutal,Oh that’s brutal,Breakdown Score Types
PlayerBuildingEmplacement,Building Emplacement,Breakdown Score Types
PlayerBuiltEmplacement,Emplacement Built,Breakdown Score Types
PlayerDestroyedEmplacement,Emplacement Destroyed ,Breakdown Score Types
PlayerDestroyingEmplacement,Destroying Emplacement,Breakdown Score Types
PlayerRepairedEmplacement,Repaired Emplacement,Breakdown Score Types
PlayerRepairingArtillery,Repairing Artillery Piece,Breakdown Score Types
PlayerRepairingEmplacement,Repairing Emplacement,Breakdown Score Types
Ship Damaged,Ship Damaged,Breakdown Score Types
Ship Damaged Assist,Ship Damaged Assist,Breakdown Score Types
Ship Sunk Assist,Ship Sunk Assist,Breakdown Score Types
Ship Sunk Kill,Ship Sunk,Breakdown Score Types
Team Kill,Team Kill,Breakdown Score Types
Unstoppable,Unstoppable,Breakdown Score Types
is,is,Breakdown Score Types
is on a,is on a,Breakdown Score Types
Support Class Kill,Support Class Kill,Breakdown Score Types
HealedPlayer,Healed Player,Breakdown Score Types
AssistHealedPlayer,Healed,Breakdown Score Types
InLine,In Line,Breakdown Score Types
Guard Kill,Guard Kill,Breakdown Score Types
Keys,English,Player Classes
British/ArmyInfantryOfficer,Infantry Officer,Player Classes
British/ArmyLineInfantry,Line Infantry,Player Classes
British/ArmyLineInfantry2,Line Infantry (92nd),Player Classes
British/Bagpiper,Bagpiper,Player Classes
British/Cannoneer,Cannoneer,Player Classes
British/Carpenter,Carpenter,Player Classes
British/CoastGuard,Coast Guard,Player Classes
British/Customs,Customs,Player Classes
British/Drummer,Drummer,Player Classes
British/Fifer,Fifer,Player Classes
British/FlagBearer,Flag Bearer,Player Classes
British/Grenadier,Grenadier,Player Classes
British/Guard,Guard,Player Classes
British/LightInfantry,Light Infantry,Player Classes
British/NavalCaptain,Captain,Player Classes
British/NavalMarine,Marine,Player Classes
British/NavalSailor,Sailor,Player Classes
British/NavalSailor2,Adept Sailor,Player Classes
British/Rifleman,Rifleman,Player Classes
British/Surgeon,Surgeon,Player Classes
British/Violinist,Violinist,Player Classes
French/ArmyInfantryOfficer,Infantry Officer,Player Classes
French/ArmyLineInfantry,Line Infantry,Player Classes
French/ArmyLineInfantry2,Line Infantry (Vistula),Player Classes
French/Bagpiper,Bagpiper,Player Classes
French/Cannoneer,Cannoneer,Player Classes
French/Carpenter,Carpenter,Player Classes
French/CoastGuard,Coast Guard,Player Classes
French/Customs,Customs,Player Classes
French/Drummer,Drummer,Player Classes
French/Fifer,Fifer,Player Classes
French/FlagBearer,Flag Bearer,Player Classes
French/Grenadier,Grenadier,Player Classes
French/Guard,Guard,Player Classes
French/LightInfantry,Light Infantry,Player Classes
French/NavalCaptain,Captain,Player Classes
French/NavalMarine,Marine,Player Classes
French/NavalSailor,Sailor,Player Classes
French/NavalSailor2,Adept Sailor,Player Classes
French/Rifleman,Rifleman,Player Classes
French/Surgeon,Surgeon,Player Classes
French/Violinist,Violinist,Player Classes
Prussian/ArmyLineInfantry,Line Infantry,Player Classes
Prussian/ArmyInfantryOfficer,Infantry Officer,Player Classes
Prussian/Guard,Guard,Player Classes
Prussian/LightInfantry,Light Infantry,Player Classes
Prussian/ArmyLineInfantry2,Line Infantry (Freikorps),Player Classes
Prussian/Rifleman,Rifleman,Player Classes
Prussian/Surgeon,Surgeon,Player Classes
Prussian/FlagBearer,Flag Bearer,Player Classes
Prussian/Fifer,Fifer,Player Classes
Prussian/Drummer,Drummer,Player Classes
Prussian/Sapper,Sapper,Player Classes
Prussian/Cannoneer,Cannoneer,Player Classes
Prussian/Grenadier,Grenadier,Player Classes
Prussian/Carpenter,Carpenter,Player Classes
Keys,English,GameplayHints
HighCommandArmy/Description,Press '{0}' to issue orders,GameplayHints
Musician/Description,Press '{0}' to equip your {1},GameplayHints
Engineer/Description,Press '{0}' to equip your hammer,GameplayHints
Medic/Description,Hold '{0}' to heal a nearby ally,GameplayHints
GameplayHints,Hints,GameplayHints
Tooltips,Tooltips,GameplayHints
MusicianToggle/Description,Press '{0}' to play a tune,GameplayHints
EngineerToggle/Description,Hold '{0}' to construct,GameplayHints
SwitchToMeleeHint,Press '{0}' to switch to melee mode,GameplayHints
SwitchToFirearmHint,Press '{0}' to switch to firearm mode,GameplayHints
HighCommandArmyToggle/Description,Press '{0}' to cease issuing orders,GameplayHints
OrdersAreDisabled,Orders are disabled,GameplayHints
SailForwardDescription,Press '{0}' to set sail,GameplayHints
Keys,English,PlayerAbilities
HighCommandArmy,High-Command (Army),PlayerAbilities
HighCommandArmyDescription,An officer in command. You are able to issue orders to the rank and file.,PlayerAbilities
HighCommandNaval,High-Command (Navy),PlayerAbilities
HighCommandNavalDescription,A captain in command. You have priority over sailing a naval vessel.,PlayerAbilities
Medicine,Medicine,PlayerAbilities
MedicineDescription,Well versed in the field of medicine. You are able to heal wounded players.,PlayerAbilities
HorsebackRiding,Horseback Riding,PlayerAbilities
HorsebackRidingDescription,Trained in the art of horseback riding. You are able to mount and ride glarious steeds of war.,PlayerAbilities
EngineeringSpecialist,Engineering,PlayerAbilities
EngineeringSpecialistDescription,Well versed in the construction of military works. You are able to enact various defensive emplacements and repair cannon.,PlayerAbilities
EngineeringBasics,Engineering Basics,PlayerAbilities
EngineeringBasicsDescription,Basic training in the construction of military works. You can assist other engineers build defensive emplacements and construct anti-infantry stakes.,PlayerAbilities
Carpentry,Carpentry,PlayerAbilities
CarpentryBasics,Specialises in woodworks. You are able to repair damaged naval vessels and cannon. ,PlayerAbilities
ArtilleryOperator,Artillery Operator,PlayerAbilities
ArtilleryOperatorDescription,"Well versed in the operation of various artillery pieces. You have priority over the use of field guns, siege guns and mortars.",PlayerAbilities
RocketOperator,Rocket Operator,PlayerAbilities
RocketOperatorDescription,Well versed in the operation of rockets. You have priority over the use of rocket launchers.,PlayerAbilities
ExplosivesHandling,Explosives Handling,PlayerAbilities
ExplosivesHandlingDescription,Well versed in the handling of explosives. You are able to carry explosives.,PlayerAbilities
RankAndFile,Rank & File,PlayerAbilities
RankAndFileDescription,"Drills, drills and more drills. Your extensive discipline allows you to receive firearm accuracy and melee damage bonuses from orders given by officers. You also gather benefits from musicians and flag bearers.",PlayerAbilities
Guardsman,Guardsman,PlayerAbilities
GuardsmanDescription,Duty bound to guard the high-command. You reduce the damage dealt to nearby allied officers by {0}% (Stacks {1} times).,PlayerAbilities
Musician,Musician,PlayerAbilities
MusicianDescription,Pomp and circumstance. You increase firearm accuracy of the rank and file by {0}%. Bonus stacks upwards to {1}% if another musician plays a tune with you.,PlayerAbilities
StandardBearer,Standard Bearer,PlayerAbilities
StandardBearerDescription,Parade your faction’s colours in the field of battle. You improve the rate at which firearms are reloaded for the rank and file by {0}% when your flag is equipped.,PlayerAbilities
Abilities,Abilities,PlayerAbilities
FormLine,Form Line,PlayerAbilities
FormLineDescription,Instruct the rank and file to form line for glorious musket volley fire to follow. Use the scroll wheel to rotate the marker.,PlayerAbilities
MakeReady,Make Ready!,PlayerAbilities
MakeReadyDescription,Instruct the rank and file to make ready their muskets. Infantryman standing in line will receive an order to aim their firearms in preparation for volley fire to commence.,PlayerAbilities
Fire,Fire!,PlayerAbilities
FireDescription,Instruct the rank and file to commence glorious volley fire. You increase firearm accuracy of all those good men that act on your order by {0}%.,PlayerAbilities
FireAtWill,Fire At Will!,PlayerAbilities
FireAtWillDescription,Instruct the rank and file to commence fire at their own will. You increase firearm accuracy of all those good men standing in line by {0}%.,PlayerAbilities
CeaseFire,Cease Fire,PlayerAbilities
CeaseFireDescription,Instruct the rank and file to cease fire. Make use of this to let the gentlemen know they should stop firing.,PlayerAbilities
Charge,Charge!,PlayerAbilities
ChargeDescription,Rally your men before a glorious charge and order them to move forward with bayonets equipped. You significantly increase melee damage for a short period of time.,PlayerAbilities
BreakRankAndFollow,Break Rank & Follow,PlayerAbilities
BreakRankAndFollowDescription,Instruct the rank and file to break their ranks and follow. Make use of this to let the men know you’re moving position.,PlayerAbilities
Reinforce,Reinforce,PlayerAbilities
ReinforceDescription,"Inform the high-command and other gentlemen in the ranks that you’re in dire need of reinforcements. A beacon will be placed on your location.
These can be toggled on and off by the same key press.",PlayerAbilities
Orders,Orders,PlayerAbilities
Keys,English,PlayerEquipment
Spyglass,Spyglass,PlayerEquipment
SpyglassDescription,Spot the enemy at a distance. Press ‘{0}’ to equip the spyglass.,PlayerEquipment
Lantern,Lantern,PlayerEquipment
LanternDescription,Light your way through the dark or make known your position. Press ‘{0}’ to equip the lantern.,PlayerEquipment
MarchingDrumFrench,Drums,PlayerEquipment
MarchingDrumBritish,Drums,PlayerEquipment
MarchingDrumPrussian,Drums,PlayerEquipment
MarchingDrumFrenchDescription,Pomp and circumstance. Gloriously drum your way through the field of battle and support the rank and file. Press ‘{0}’ to equip this instrument.,PlayerEquipment
MarchingDrumBritishDescription,Pomp and circumstance. Gloriously drum your way through the field of battle and support the rank and file. Press ‘{0}’ to equip this instrument.,PlayerEquipment
MarchingDrumPrussianDescription,Pomp and circumstance. Gloriously drum your way through the field of battle and support the rank and file. Press ‘{0}’ to equip this instrument.,PlayerEquipment
Musket_SeaServiceBrownBess,Sea Service Brown Bess,PlayerEquipment
Musket_CharlevilleMarinePatternANIX,Charleville Musket Marine-Pattern An IX,PlayerEquipment
Musket_IndiaPatternBrownBess,India-Pattern Brown Bess,PlayerEquipment
Musket_CharlevilleIXXII,Charleville Musket IX/XIII,PlayerEquipment
Musket_NewLandPatternBrownBess,New Land Pattern Brown Bess,PlayerEquipment
Musket_CharlevilleGuardPattern,Charleville Musket Guard Pattern,PlayerEquipment
Musket_NewLandLightInfantryPatternBrownBess,New Land Light Infantry Pattern Brown Bess,PlayerEquipment
Musket_CharlevilleDragoonPattern,Charleville Musket Dragoon Pattern,PlayerEquipment
Carbine_Elliot,Elliot Carbine,PlayerEquipment
Carbine_CharlevilleCavalryIXXIII,Charleville Cavalry Carbine IX/XIII,PlayerEquipment
Carbine_1089Pattern,1089 Pattern Carbine,PlayerEquipment
Rifle_Pattern1800Infantry,Baker Rifle (Pattern 1800 Infantry Rifle),PlayerEquipment
Rifle_CharlevilleDragoonPattern_NoBayonet,Charleville Musket Dragoon Pattern,PlayerEquipment
Pistol_SeaService,Sea Service Pistol,PlayerEquipment
Pistol_XIII,Pistol XIII,PlayerEquipment
Pistol_NewLandPattern,New Land-Pattern Pistol,PlayerEquipment
Pistol_PrussianHussar,Prussian Hussar Pistol,PlayerEquipment
Blunderbuss_Variation1,Blunderbuss,PlayerEquipment
Blunderbuss_Variation2,Blunderbuss,PlayerEquipment
Axe2H_Variation1,Two-Handed Axe,PlayerEquipment
Axe2H_Variation2,Two-Handed Axe,PlayerEquipment
Carpenter_Adze,Carpenter Adze,PlayerEquipment
Carpenter_Axe,Carpenter Axe,PlayerEquipment
Sword_Pattern1803FlankOfficer,Pattern 1803 Flank Officer's Sabre,PlayerEquipment
Sword_1796Heavy,1796 Heavy Sword,PlayerEquipment
Sword_XIHeavy,XI Heavy Sword,PlayerEquipment
Sabre_AnXILight,An XI Light Sabre,PlayerEquipment
Sabre_1715Pattern,1715 Pattern Sabre,PlayerEquipment
Sabre_PrussianHussar,Prussian Hussar Sabre,PlayerEquipment
Sabre_1796PatternLight,1796 Pattern Light Sabre,PlayerEquipment
Sword_Bayonet,Sword Bayonet,PlayerEquipment
Sabre_Briquet,Sabre Briquet,PlayerEquipment
Hanger_Variation1,Hanger,PlayerEquipment
Hanger_Variation2,Hanger,PlayerEquipment
Cutlass_1804PatternNaval,1804 Pattern Naval Cutlass,PlayerEquipment
Cutlass_YearIXBoardingSabre,Year IX Boarding Sabre,PlayerEquipment
Dagger_Variation1,Dagger,PlayerEquipment
Dagger_Variation2,Dagger,PlayerEquipment
Knife_Variation1,Knife,PlayerEquipment
Knife_Variation2,Knife,PlayerEquipment
BoardingPike_Variation1,Boarding Pike,PlayerEquipment
BoardingPike_Variation2,Boarding Pike,PlayerEquipment
Melee,Melee,PlayerEquipment
Firearm,Firearm,PlayerEquipment
Miscellaneous,Miscellaneous,PlayerEquipment
Violin,Violin,PlayerEquipment
BearingFlagBritish,Flag,PlayerEquipment
BearingFlagFrench,Flag,PlayerEquipment
BearingFlagPrussian,Flag,PlayerEquipment
Bagpipes,Bagpipes,PlayerEquipment
BagpipesDescription, A true scotsman weapon of choice. Gloriously pipe your way through the field of battle and support the rank and file. Press ‘{0}’ to equip this instrument.,PlayerEquipment
ConstructingHammer,Hammer,PlayerEquipment
DeconstructingHammer,Sledge Hammer,PlayerEquipment
DiggingSpade,Spade,PlayerEquipment
FifeFrench,Fife,PlayerEquipment
FifeBritish,Fife,PlayerEquipment
FifePrussian,Fife,PlayerEquipment
FifeBritishDescription,Pomp and circumstance. Gloriously fife your way through the field of battle and support the rank and file. Press ‘{0}’ to equip this instrument.,PlayerEquipment
FifePrussianDescription,Pomp and circumstance. Gloriously fife your way through the field of battle and support the rank and file. Press ‘{0}’ to equip this instrument.,PlayerEquipment
FifeFrenchDescription,Pomp and circumstance. Gloriously fife your way through the field of battle and support the rank and file. Press ‘{0}’ to equip this instrument.,PlayerEquipment
Damage,Damage,PlayerEquipment
Reach,Reach,PlayerEquipment
Accuracy,Accuracy,PlayerEquipment
ReloadTime,Reload Time,PlayerEquipment
AbleToBlock,Able To Block,PlayerEquipment
StrikeDirections,Strike Directions,PlayerEquipment
Range,Range,PlayerEquipment
Yes,Yes,PlayerEquipment
No,No,PlayerEquipment
Seconds,seconds,PlayerEquipment
Ammunition,Ammunition,PlayerEquipment
Shots,Shots,PlayerEquipment
Bayonet,Bayonet,PlayerEquipment
Speed,Speed,PlayerEquipment
ViolinDescription,"A slender neck, gracefully curved body and smooth finish. In the hands of a master, it sings like the haunting siren’s call. Press ‘{0}’ to equip this instrument.",PlayerEquipment
BayonetDescription,The musket’s pointy end. Attach it to your trusty firearm and make use of it as a spear by pressing '{0}'.,PlayerEquipment
MusketDescription,"Muzzle loaded firearm equipped with a pointy end. Manufactured en masse, they’re your best bet at making quick work of your enemy.",PlayerEquipment
RifleDescription,"Crackshot’s weapon of choice. Effective at long ranges, it's one firearm to be weary of.",PlayerEquipment
CarbineDescription,"Shorter, lighter and much easier to handle than a musket. It is preferred by units riding on horseback or those carrying heavy loads.",PlayerEquipment
PistolDescription,Single-shot muzzle loaded firearm limited by its short range and damage but quick to reload. A solid defensive choice for a front-line unit.,PlayerEquipment
BlunderbussDescription,Shotgun. Capable of ending multiple infantryman at one go.,PlayerEquipment
CutlassDescription,A brutal slashing weapon primarily associated with naval troops. A scary choice for a close encounter.,PlayerEquipment
OfficerWeaponDescription,"Slash and thrust. Firmly take hold of its hilt, rally the troops and make your stand.",PlayerEquipment
ShortBladedSwordDescription,Short-bladed sword. Equip this when things get up close and personal.,PlayerEquipment
KnifeDescription,It’s better than doing the notorious deed with your bare fists.,PlayerEquipment
2HAxeDescription,Its sheer force makes this weapon’s use ideal when going against player-built defences.,PlayerEquipment
DeconstructingHammerDescription,Topple down enemy defences or deconstruct your own. Its relatively efficient at gathering back materials to construct defences with.,PlayerEquipment
1HAxeDescription,"Swung with one-hand, this melee weapon is effective against both player-built constructions and infantryman alike.",PlayerEquipment
BearingFlagDescription,Rally the troops. Fly your faction’s standard to support the rank and file.,PlayerEquipment
ConstructingHammerDescription,"Construct player-built defences, repair artillery or gently tap an unsuspecting fellow’s head. Press ‘{0}’ to equip the hammer and start constructing defences.",PlayerEquipment
CannonRamRodDescription,"Make ready the guns. Ram field guns, long guns and artillery pieces or valiantly attempt to fend off enemies with it.",PlayerEquipment
SpadeDescription,Digging tool. Make use of it to raise earthworks and bolster your team’s defences.,PlayerEquipment
BoardingPikeDescription,Fend off enemy crewman aboard your ship’s deck. Make use of its range to your advantage.,PlayerEquipment
CannonRamRod,Ram Rod,PlayerEquipment
Keys,English,PlayerTraits
Navigator,Navigator,PlayerTraits
NavigatorDescription,Navigator of the high seas. You improve the maneuverability of the naval vessel your are commanding by {0}%.,PlayerTraits
AbleSwimmer,Able Swimmer,PlayerTraits
AbleSwimmerDescription,Lightly equipped. Your swimming speed is increased by {0}%.,PlayerTraits
Distinguishable,Distinguishable,PlayerTraits
DistinguishableDescription,Stand out from the rank and file. You appear differently on the mini-map.,PlayerTraits
Resilient,Resilient,PlayerTraits
ResilientDescription,A strong sense of duty. Melee damage dealt to you by other players is reduced by {0}%.,PlayerTraits
Armoured,Armoured,PlayerTraits
ArmouredDescription,Equipped with a cuirass that protects you from musket and pistol fire. You are guranteed to survive a single shot by a firearm.,PlayerTraits
LightFooted,Light Footed,PlayerTraits
LightFootedDescription,Fast and nimble. Your running speed is increased by {0}% but you deal less damage with melee weapons.,PlayerTraits
SkilfulRider,Skilful Rider,PlayerTraits
SkilfulRiderDescription,Well-versed in the art of horseback riding. Your speed while riding a horse is increased by {0}%.,PlayerTraits
ChosenMan,Chosen Men,PlayerTraits
ChosenManDescription,The prestigious 95th. You're a chosen man! It makes you feel special.,PlayerTraits
Marksman,Marksman,PlayerTraits
MarksmanDescription,Crack-shot. Your accuracy when using firearms is increased by {0}% but your reload speed is decreased by {1}%.,PlayerTraits
Skirmisher,Skirmisher,PlayerTraits
